strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end,horizon,strategy_origin,trading_days,positions_observed,short_sample_warning,validation_status,return_rank
daily_breakout_2_time10,3_months,2026-05-01,2026-07-31,0.41933885978869956,3.2490328697847373,0.5958882790022142,-0.14223097890367242,2.733186928759083,4.5830753790734855,22.8433558907387,44,0.5454545454545454,1.4978147201935132,0.01606544729613364,1.7272727272727273,-0.0018616833009940153,43.999146077909764,0.6118755310959624,1419338.8597886995,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.49796414177724313,0.48965390551594845,46,0,2,0,0,10,0,2,3_months,first_pass_new,62,46,True,frozen_before_horizon_comparison,1
daily_breakout_2_time5,3_months,2026-05-01,2026-07-31,0.4185176803799002,3.2388862973584,0.5967495389989513,-0.14183323533069758,2.7272936326020067,4.2433341905961,22.83587686487325,46,0.5434782608695652,1.423315020401628,0.015293246449240102,1.6304347826086956,-0.0024592834566715053,45.98981346387412,0.6093866560414051,1418517.6803799002,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.4971429623684438,0.4888327261071491,48,0,2,0,0,11,0,2,3_months,first_pass_new,62,48,True,frozen_before_horizon_comparison,3
daily_breakout_2_time3,3_months,2026-05-01,2026-07-31,0.3619759453509994,2.5832222075388747,0.5616864690581678,-0.11130553159761003,2.556815308069745,4.909842461721968,23.20839018924682,50,0.54,1.3977032869249892,0.011869350339639047,1.56,-0.005048166268807676,49.617486390751786,0.629561163951452,1361975.9453509995,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.440601227339543,0.4322909910782483,52,0,3,0,0,13,0,2,3_months,first_pass_new,62,52,True,frozen_before_horizon_comparison,4
daily_breakout_2_time5_market_ma20,3_months,2026-05-01,2026-07-31,0.12246620261039953,0.6116591366291937,0.40486918558751533,-0.1398383102572166,1.383368153516634,1.5391169696944489,4.374045535190725,25,0.52,1.3128995933883514,0.010849369306109491,1.64,-0.005750949043517495,24.51265533435571,0.32194777367347777,1122466.2026103996,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.2010914845989431,0.19278124833764843,25,0,0,0,0,7,30,0,3_months,first_pass_new,62,25,True,frozen_before_horizon_comparison,5
daily_breakout_4_time10,3_months,2026-05-01,2026-07-31,0.10132774630020025,0.48992215984259446,0.41172712130839306,-0.10995805850656659,1.1745709153253698,2.0897184932063007,4.455536651852913,80,0.45,1.1047250061387655,0.003847011104372,1.95,-0.004778992578971984,39.494201493186914,0.6374051623533917,1101327.7463002002,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.17995302828874382,0.17164279202744914,85,0,0,0,0,19,0,4,3_months,first_pass_new,62,84,True,frozen_before_horizon_comparison,6
posthoc_risk20_6_ma60_hold40,3_months,2026-05-01,2026-07-31,0.041808162006000016,0.18436030375138945,0.4151068019396492,-0.21935938083480422,0.6150489091146996,1.043150872565682,0.8404486876730749,14,0.35714285714285715,1.044619148172916,0.008773829686622702,20.714285714285715,-0.0004479266672242553,5.096642841846175,0.9352685432205065,1041808.162006,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.12043344399454359,0.11212320773324891,20,0,0,0,0,0,0,6,3_months,posthoc_new,62,20,True,posthoc_test_seen_not_validated,7
posthoc_risk20_4_ma60_hold40,3_months,2026-05-01,2026-07-31,0.04122546425800011,0.1816261065878102,0.42767197515358374,-0.2002806902832247,0.6042766183724027,0.9712802765003545,0.9068578020725097,10,0.3,1.0626247013091576,0.009146119999648034,19.2,-0.002456276237751387,5.5210791498415706,0.9397339334046843,1041225.464258,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.11985074624654368,0.111540509985249,14,0,0,0,0,0,0,4,3_months,posthoc_new,62,14,True,posthoc_test_seen_not_validated,8
posthoc_risk20_4_ma60_hold60,3_months,2026-05-01,2026-07-31,0.03988463446060009,0.17535269166979828,0.4668916948346844,-0.23360472605108074,0.5805024437564185,0.8807664944394632,0.7506384593925344,6,0.3333333333333333,0.9231571193092342,-0.0032406418770439226,34.333333333333336,0.000737946713461853,3.550316430461977,0.9599538377054146,1039884.6344606001,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.11850991644914366,0.11019968018784898,10,0,0,0,0,0,0,4,3_months,posthoc_new,62,10,True,posthoc_test_seen_not_validated,9
posthoc_risk20_6_ma60_hold60,3_months,2026-05-01,2026-07-31,0.021172464577700056,0.09040970204661081,0.4306779379637323,-0.2412670753831827,0.41676623006481983,0.6389522972751657,0.3747287187985399,9,0.4444444444444444,1.0057614284307208,0.0009665133097679927,33.888888888888886,0.0025243854796828235,3.482391254097983,0.9486209757305203,1021172.4645777,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.09979774656624363,0.09148751030494895,15,0,0,0,0,0,0,6,3_months,posthoc_new,62,15,True,posthoc_test_seen_not_validated,10
daily_rank_10_time2,3_months,2026-05-01,2026-07-31,-0.023807432195700362,-0.0947477903788978,0.411614427537792,-0.19402624990652595,-0.03549786623834271,-0.05876262934210807,-0.48832459744258044,296,0.46283783783783783,0.9747576303031221,-6.33917482642926e-05,1.7837837837837838,0.0042329138991946,57.30520005425526,0.8375377454586461,976192.5678042996,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.05481784979284321,0.04650761353154853,311,1,0,0,0,27,0,10,3_months,first_pass_new,62,306,True,frozen_before_horizon_comparison,11
